,Nose_Neck_MidHip,RShoulder_Neck_MidHip,LShoulder_Neck_MidHip,RElbow_RShoulder_Neck,LElbow_LShoulder_Neck,RWrist_RElbow_RShoulder,LWrist_LElbow_LShoulder,RHip_MidHip_Neck,LHip_MidHip_Neck,RKnee_RHip_MidHip,LKnee_LHip_MidHip,RAnkle_RKnee_RHip,LAnkle_LKnee_LHip
El Greco_4651_keypoints.npy_4651_1_m,-3.1017861366271973,-1.4206572771072388,1.7499866485595703,-2.132946729660034,-3.0780670642852783,5e-324,3.0742411613464355,1.6153781414031982,-1.468511700630188,5e-324,5e-324,5e-324,5e-324
El Greco_78585_keypoints.npy_78585_1_m,-2.691946268081665,-1.435149073600769,1.756786823272705,3.0099754333496094,-2.943531036376953,2.9242970943450928,-3.0457913875579834,1.6730986833572388,-1.5345966815948486,-1.3871694803237915,1.6068538427352905,-3.0083298683166504,-2.8294997215270996
El Greco_78585_keypoints.npy_78585_2_m,-2.6277005672454834,-1.6961803436279297,1.5304069519042969,-1.896626353263855,1.6515158414840698,-1.0349394083023071,1.2648835182189941,1.7973483800888062,-1.344119906425476,5e-324,5e-324,5e-324,5e-324
El Greco_30309_keypoints.npy_30309_1_m,-2.6962268352508545,-1.502837061882019,1.6320751905441284,-2.1294703483581543,1.5951817035675049,-0.9353402853012085,0.8054776191711426,1.3138060569763184,-1.9413925409317017,5e-324,5e-324,5e-324,5e-324
El Greco_84251_keypoints.npy_84251_1_m,2.0777742862701416,1.8288344144821167,-1.4894249439239502,2.1122076511383057,-0.8807171583175659,-2.829965353012085,-2.416958808898926,-1.4143646955490112,1.6504085063934326,2.322910785675049,-1.0459694862365723,2.939584970474243,-3.0242390632629395
El Greco_84251_keypoints.npy_84251_2_m,2.6254467964172363,-1.55853271484375,1.5161908864974976,5e-324,1.8339931964874268,5e-324,2.432088851928711,0.3404395580291748,-1.5170931816101074,5e-324,2.483314037322998,5e-324,2.616478681564331
El Greco_84246_keypoints.npy_84246_1_m,-2.548356533050537,-1.5812283754348755,1.5597290992736816,-2.053525686264038,1.987505555152893,2.7908079624176025,1.6470158100128174,1.5794389247894287,-1.5638443231582642,-1.6374461650848389,1.4058445692062378,-3.1199753284454346,-3.06078839302063
El Greco_84246_keypoints.npy_84246_2_m,-2.324521541595459,-1.5257312059402466,1.6200629472732544,-2.1166112422943115,5e-324,2.8889193534851074,5e-324,1.5164023637771606,-1.6247410774230957,-1.9360356330871582,1.2789885997772217,-2.885533094406128,-2.9351677894592285
El Greco_84246_keypoints.npy_84246_3_m,-2.5367226600646973,1.6208138465881348,-1.5248640775680542,2.2081069946289062,-2.476145029067993,5e-324,2.328108310699463,-1.5326391458511353,1.4689276218414307,5e-324,5e-324,5e-324,5e-324
El Greco_84246_keypoints.npy_84246_4_m,-2.2435896396636963,2.46631121635437,-0.7994899153709412,-0.09864984452724457,-2.771136999130249,5e-324,2.1460111141204834,0.3851096034049988,-2.567253828048706,-1.9354832172393799,0.6933929324150085,5e-324,-0.8463762402534485
El Greco_84246_keypoints.npy_84246_5_m,2.5425426959991455,-1.3258566856384277,1.8188763856887817,-2.0058746337890625,5e-324,5e-324,5e-324,2.1672418117523193,-1.363206386566162,5e-324,5e-324,5e-324,5e-324
El Greco_84246_keypoints.npy_84246_6_m,2.4022796154022217,-1.456191897392273,1.8020071983337402,-2.4228768348693848,5e-324,-3.081512451171875,5e-324,1.3934099674224854,-1.2799429893493652,5e-324,5e-324,5e-324,5e-324
El Greco_84246_keypoints.npy_84246_7_m,-2.728856086730957,-1.635298252105713,1.5486841201782227,-2.084657669067383,1.9395979642868042,5e-324,2.565828323364258,1.583188533782959,-1.3190816640853882,5e-324,5e-324,5e-324,5e-324
El Greco_14648_keypoints.npy_14648_1_m,-2.949214220046997,-1.5469419956207275,1.6249473094940186,-2.2938873767852783,2.1280858516693115,-1.7512741088867188,2.1436984539031982,1.5816646814346313,-1.6064099073410034,-1.765464186668396,1.5294874906539917,-3.0742886066436768,-3.1065545082092285
Artemisia Gentileschi_45093_keypoints.npy_45093_1_m,-2.9637162685394287,-1.464959740638733,1.7132800817489624,-2.082400321960449,2.09012508392334,-3.141552686691284,1.3264704942703247,1.584677815437317,-1.501694679260254,-1.3741508722305298,1.5271801948547363,-3.073976993560791,-3.0688586235046387
Artemisia Gentileschi_72463_keypoints.npy_72463_1_f,2.595705509185791,-1.515391230583191,1.6926168203353882,-1.6341654062271118,1.8505836725234985,-1.1200392246246338,3.0754339694976807,1.7885947227478027,-1.4636412858963013,5e-324,5e-324,5e-324,5e-324
Artemisia Gentileschi_5184_keypoints.npy_5184_1_f,3.1124861240386963,-1.2286643981933594,1.9361387491226196,-2.384058952331543,-2.1774682998657227,-2.0782859325408936,-1.4570634365081787,1.8926788568496704,-1.2971524000167847,-0.8538777828216553,2.163694381713867,2.42637300491333,2.394477367401123
Artemisia Gentileschi_5184_keypoints.npy_5184_2_f,-2.6618881225585938,1.8916726112365723,-1.252520203590393,5e-324,-2.6989386081695557,5e-324,2.563483715057373,-1.4177789688110352,1.5168875455856323,5e-324,5e-324,5e-324,5e-324
Artemisia Gentileschi_82753_keypoints.npy_82753_1_f,2.8159677982330322,-1.4452741146087646,1.6883162260055542,-2.1695425510406494,1.5913736820220947,-2.98691463470459,2.733436346054077,1.5918524265289307,-1.4951305389404297,-1.9145662784576416,1.9781863689422607,5e-324,2.683215379714966
Artemisia Gentileschi_92820_keypoints.npy_92820_1_f,-3.011842966079712,-1.4331107139587402,1.7084120512008667,-2.305429697036743,1.9873380661010742,1.9307235479354858,1.6973762512207031,1.5953528881072998,-1.4090263843536377,5e-324,5e-324,5e-324,5e-324
Artemisia Gentileschi_46899_keypoints.npy_46899_1_f,-1.8488218784332275,-1.0857551097869873,2.0627124309539795,-1.1067655086517334,2.006227731704712,-1.0166682004928589,-2.245771646499634,1.2474637031555176,-1.9149763584136963,-2.594438076019287,0.7846880555152893,-1.1955091953277588,-1.4655957221984863
Artemisia Gentileschi_85492_keypoints.npy_85492_1_f,2.9787967205047607,-1.5752849578857422,1.5076054334640503,-2.963135242462158,2.125325918197632,2.6932413578033447,1.5528531074523926,1.5462729930877686,-1.5870312452316284,3.0618433952331543,5e-324,5e-324,5e-324
Artemisia Gentileschi_98642_keypoints.npy_98642_1_m,-2.3527445793151855,-1.6884737014770508,1.4133273363113403,-2.959230422973633,2.1572623252868652,2.311143636703491,2.2057297229766846,1.372837781906128,-1.8083574771881104,5e-324,5e-324,5e-324,5e-324
Artemisia Gentileschi_98642_keypoints.npy_98642_2_f,-2.31563401222229,-1.9134037494659424,1.5978108644485474,-1.293716549873352,2.1703433990478516,2.6355550289154053,2.276029586791992,1.6340402364730835,-1.4174941778182983,-1.218478798866272,1.9324716329574585,2.696685552597046,5e-324
Artemisia Gentileschi_11400_keypoints.npy_11400_1_f,-2.6850333213806152,-1.847865343093872,1.3743757009506226,-1.7837125062942505,1.596848726272583,3.136075496673584,2.6493825912475586,1.37212336063385,-1.631974458694458,2.6578598022460938,5e-324,5e-324,5e-324
Artemisia Gentileschi_11400_keypoints.npy_11400_2_f,-0.24280942976474762,-1.5416432619094849,1.5567914247512817,-1.68497633934021,1.7091314792633057,-2.6016275882720947,0.7070347666740417,0.7957066893577576,-1.17449951171875,-3.022033929824829,5e-324,-0.48719388246536255,5e-324
Artemisia Gentileschi_77321_keypoints.npy_77321_1_f,2.540098190307617,-1.396397352218628,1.699125051498413,2.670283317565918,-2.6120078563690186,2.5693280696868896,3.0410728454589844,1.9329208135604858,-1.209172010421753,-1.409109115600586,1.5548782348632812,3.137619733810425,-3.087771415710449
Artemisia Gentileschi_47670_keypoints.npy_47670_1_f,-2.8246006965637207,-1.6766289472579956,1.4855979681015015,-1.7737219333648682,1.9619297981262207,-2.2896153926849365,-2.7151567935943604,1.5882277488708496,-1.5278596878051758,5e-324,5e-324,5e-324,5e-324
Pierre-Auguste Renoir_1013_keypoints.npy_1013_1_f,-2.798053503036499,-1.8093801736831665,1.4177237749099731,-1.2549411058425903,1.8252012729644775,5e-324,2.5431158542633057,1.3326016664505005,-1.8189674615859985,-1.652724027633667,1.5221983194351196,-2.6766891479492188,-2.5908660888671875
Pierre-Auguste Renoir_39484_keypoints.npy_39484_1_f,-2.5661022663116455,1.532579779624939,-1.591063141822815,1.9774773120880127,-1.5789157152175903,-0.7387632131576538,2.2929153442382812,-1.5257467031478882,1.5441555976867676,5e-324,5e-324,5e-324,5e-324
Pierre-Auguste Renoir_39484_keypoints.npy_39484_2_f,2.2552130222320557,1.2193185091018677,-1.8860384225845337,3.0875847339630127,-1.961955189704895,-1.1330465078353882,-2.9971351623535156,-1.395334005355835,1.5677988529205322,-2.717316150665283,-0.04332955554127693,1.8241498470306396,2.2677435874938965
